step,field,min,max,mean,stddev,nonzero_ratio,p95,entropy,norm_entropy,dna_pool_size,avg_agent_energy
0,resources,0.000000,1.000000,0.014805,0.106544,0.019653,0.000000,0.164119,0.039462,,
0,pheromone,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
0,molecules,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
0,mycel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
0,__system__,0,0,0,0,0,0,0,0,0,0.385757
50,resources,0.002000,1.000000,0.056536,0.100950,1.000000,0.075000,1.684923,0.405138,,
50,pheromone,0.000000,0.197000,0.018169,0.010156,0.989319,0.037000,2.533981,0.609294,,
50,molecules,0.000000,0.019000,0.000817,0.001865,0.348877,0.004000,1.146917,0.275775,,
50,mycel,0.000000,0.104000,0.004245,0.009423,0.542297,0.020000,1.677021,0.403238,,
50,__system__,0,0,0,0,0,0,0,0,49,0.930825
100,resources,0.002000,1.000000,0.080545,0.099986,1.000000,0.150000,2.270995,0.546059,,
100,pheromone,0.000000,0.388000,0.032209,0.012990,0.997192,0.055000,2.112392,0.507923,,
100,molecules,0.000000,0.026000,0.000940,0.002140,0.367371,0.005000,1.220861,0.293555,,
100,mycel,0.000000,0.123000,0.007900,0.012350,0.780273,0.031000,2.335890,0.561663,,
100,__system__,0,0,0,0,0,0,0,0,256,0.956676
150,resources,0.002000,1.000000,0.100528,0.101585,1.000000,0.185000,2.585310,0.621636,,
150,pheromone,0.000000,0.230000,0.039169,0.014165,0.999023,0.065000,2.724906,0.655201,,
150,molecules,0.000000,0.025000,0.001002,0.002202,0.388672,0.006000,1.259319,0.302802,,
150,mycel,0.000000,0.131000,0.011405,0.014076,0.941040,0.038000,2.646334,0.636309,,
150,__system__,0,0,0,0,0,0,0,0,256,0.943513
200,resources,0.002000,1.000000,0.118341,0.104421,1.000000,0.220000,2.753176,0.661999,,
200,pheromone,0.000000,0.153000,0.042688,0.014438,0.999695,0.069000,3.137994,0.754528,,
200,molecules,0.000000,0.028000,0.001015,0.002228,0.385620,0.006000,1.272533,0.305980,,
200,mycel,0.000000,0.141000,0.016635,0.015272,0.996338,0.045000,2.963989,0.712689,,
200,__system__,0,0,0,0,0,0,0,0,256,0.952358
250,resources,0.002000,1.000000,0.134626,0.107464,1.000000,0.255000,2.904849,0.698469,,
250,pheromone,0.000000,0.165000,0.044716,0.014697,0.999817,0.071000,3.091957,0.743458,,
250,molecules,0.000000,0.041000,0.001059,0.002323,0.395264,0.006000,1.298739,0.312281,,
250,mycel,0.001000,0.159000,0.024692,0.016855,1.000000,0.056000,3.091197,0.743276,,
250,__system__,0,0,0,0,0,0,0,0,256,0.958786
300,resources,0.002000,1.000000,0.150508,0.111374,1.000000,0.290000,3.018943,0.725902,,
300,pheromone,0.000000,0.174000,0.045668,0.015354,0.999817,0.073000,3.093515,0.743833,,
300,molecules,0.000000,0.025000,0.001061,0.002311,0.395203,0.006000,1.295084,0.311402,,
300,mycel,0.001000,0.171000,0.035791,0.019273,1.000000,0.072000,3.264073,0.784844,,
300,__system__,0,0,0,0,0,0,0,0,256,0.960127
350,resources,0.002000,1.000000,0.165717,0.115540,1.000000,0.325000,3.125314,0.751479,,
350,pheromone,0.000000,0.210000,0.046382,0.016177,0.999695,0.076000,2.944831,0.708082,,
350,molecules,0.000000,0.024000,0.001074,0.002327,0.402161,0.006000,1.307679,0.314430,,
350,mycel,0.004000,0.188000,0.049536,0.022253,1.000000,0.091000,3.387500,0.814522,,
350,__system__,0,0,0,0,0,0,0,0,256,0.954498
400,resources,0.002000,1.000000,0.180636,0.120032,1.000000,0.360000,3.208020,0.771366,,
400,pheromone,0.000000,0.197000,0.046736,0.016652,0.999939,0.077000,3.033656,0.729440,,
400,molecules,0.000000,0.025000,0.001079,0.002357,0.391235,0.006000,1.307865,0.314475,,
400,mycel,0.006000,0.197000,0.065543,0.026077,1.000000,0.113000,3.539602,0.851094,,
400,__system__,0,0,0,0,0,0,0,0,256,0.956951
450,resources,0.002000,1.000000,0.195185,0.124682,1.000000,0.395000,3.290736,0.791255,,
450,pheromone,0.000000,0.163000,0.047032,0.016525,0.999817,0.078000,3.212849,0.772527,,
450,molecules,0.000000,0.022000,0.001089,0.002346,0.402710,0.006000,1.314135,0.315983,,
450,mycel,0.009000,0.218000,0.083360,0.030601,1.000000,0.140000,3.613127,0.868773,,
450,__system__,0,0,0,0,0,0,0,0,256,0.959713
