# dump
0.000,0.000,0.001,0.002,0.005,0.009,0.017,0.028,0.040,0.028,0.017,0.009,0.005,0.002,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.005,0.009,0.018,0.034,0.066,0.042,0.027,0.018,0.013,0.009,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.001,0.001,0.003,0.005,0.009,0.014,0.017,0.017,0.016,0.019,0.026,0.041,0.075,0.039,0.021,0.012,0.009,0.009,0.012,0.018,0.021,0.017,0.012,0.007,0.004,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.008,0.011,0.013,0.011,0.008,0.005,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.005,0.007,0.010,0.011,0.010,0.008,0.006,0.006,0.008,0.012,0.017,0.021,0.018,0.014,0.013,0.014,0.015,0.012,0.008,0.005,0.003,0.002,0.002,0.004,0.006,0.010,0.014,0.018
0.000,0.000,0.001,0.002,0.004,0.008,0.016,0.031,0.067,0.031,0.016,0.008,0.004,0.002,0.002,0.003,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.002,0.004,0.007,0.014,0.025,0.038,0.039,0.027,0.019,0.015,0.011,0.006,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.010,0.019,0.024,0.020,0.018,0.018,0.022,0.028,0.036,0.025,0.015,0.010,0.008,0.009,0.014,0.023,0.033,0.023,0.013,0.008,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.007,0.012,0.016,0.019,0.016,0.010,0.006,0.007,0.002,0.001,0.001,0.003,0.001,0.001,0.002,0.002,0.004,0.006,0.009,0.014,0.017,0.014,0.010,0.007,0.007,0.009,0.014,0.022,0.032,0.023,0.016,0.014,0.017,0.023,0.015,0.009,0.005,0.003,0.002,0.003,0.004,0.007,0.012,0.018,0.025
0.000,0.000,0.001,0.002,0.003,0.006,0.012,0.020,0.029,0.019,0.011,0.006,0.003,0.002,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.003,0.005,0.010,0.018,0.032,0.058,0.031,0.022,0.022,0.014,0.008,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.003,0.005,0.011,0.022,0.043,0.026,0.021,0.021,0.020,0.020,0.022,0.016,0.010,0.007,0.006,0.008,0.015,0.031,0.070,0.031,0.016,0.009,0.006,0.005,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.005,0.009,0.015,0.026,0.039,0.025,0.014,0.008,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.006,0.009,0.014,0.022,0.033,0.023,0.015,0.010,0.009,0.011,0.017,0.031,0.069,0.031,0.018,0.016,0.024,0.050,0.021,0.010,0.006,0.004,0.003,0.003,0.005,0.009,0.017,0.028,0.043
0.000,0.001,0.003,0.002,0.003,0.005,0.009,0.011,0.013,0.010,0.007,0.004,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.007,0.012,0.019,0.030,0.023,0.024,0.044,0.019,0.010,0.007,0.005,0.004,0.003,0.002,0.001,0.001,0.001,0.002,0.005,0.009,0.016,0.024,0.023,0.025,0.029,0.022,0.017,0.015,0.010,0.006,0.005,0.005,0.007,0.011,0.020,0.031,0.021,0.013,0.010,0.008,0.008,0.006,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.007,0.011,0.020,0.039,0.091,0.038,0.017,0.008,0.004,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.007,0.009,0.012,0.018,0.034,0.077,0.034,0.018,0.012,0.011,0.013,0.016,0.022,0.031,0.022,0.015,0.013,0.016,0.022,0.015,0.009,0.006,0.005,0.004,0.005,0.007,0.012,0.024,0.042,0.080
0.001,0.001,0.002,0.005,0.003,0.007,0.005,0.006,0.007,0.005,0.004,0.003,0.002,0.002,0.003,0.004,0.005,0.006,0.006,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.007,0.011,0.014,0.014,0.015,0.020,0.014,0.011,0.010,0.009,0.007,0.005,0.003,0.002,0.002,0.002,0.002,0.004,0.006,0.011,0.016,0.020,0.030,0.053,0.028,0.016,0.011,0.007,0.004,0.003,0.003,0.004,0.007,0.011,0.015,0.013,0.012,0.011,0.013,0.015,0.012,0.007,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.004,0.005,0.007,0.010,0.014,0.019,0.028,0.039,0.025,0.014,0.007,0.003,0.002,0.001,0.001,0.002,0.002,0.004,0.007,0.013,0.016,0.016,0.018,0.025,0.034,0.023,0.016,0.014,0.016,0.019,0.018,0.018,0.018,0.015,0.012,0.011,0.011,0.012,0.010,0.008,0.008,0.008,0.007,0.006,0.008,0.014,0.025,0.045,0.071
0.001,0.001,0.001,0.002,0.002,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.005,0.008,0.012,0.014,0.013,0.010,0.007,0.004,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.007,0.007,0.008,0.009,0.011,0.011,0.012,0.015,0.017,0.013,0.008,0.005,0.003,0.003,0.002,0.003,0.003,0.005,0.008,0.012,0.017,0.025,0.032,0.023,0.015,0.009,0.005,0.003,0.002,0.002,0.003,0.005,0.007,0.009,0.010,0.011,0.015,0.023,0.033,0.021,0.012,0.006,0.003,0.001,0.002,0.004,0.002,0.002,0.004,0.004,0.007,0.009,0.012,0.015,0.019,0.019,0.020,0.021,0.015,0.009,0.005,0.002,0.001,0.001,0.001,0.001,0.003,0.005,0.011,0.020,0.032,0.023,0.018,0.018,0.019,0.016,0.014,0.016,0.024,0.035,0.025,0.017,0.015,0.015,0.013,0.011,0.010,0.010,0.009,0.009,0.011,0.013,0.011,0.009,0.009,0.014,0.025,0.048,0.097
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.004,0.008,0.014,0.024,0.028,0.028,0.019,0.012,0.006,0.003,0.002,0.001,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.007,0.010,0.015,0.024,0.036,0.024,0.013,0.008,0.005,0.004,0.004,0.004,0.004,0.004,0.006,0.009,0.015,0.024,0.032,0.023,0.014,0.008,0.004,0.002,0.001,0.001,0.002,0.005,0.005,0.009,0.009,0.012,0.019,0.035,0.079,0.033,0.015,0.007,0.003,0.002,0.001,0.002,0.001,0.002,0.004,0.007,0.012,0.017,0.020,0.026,0.035,0.025,0.018,0.014,0.009,0.006,0.003,0.002,0.001,0.001,0.001,0.001,0.003,0.006,0.014,0.030,0.073,0.033,0.019,0.015,0.013,0.011,0.012,0.018,0.034,0.080,0.035,0.019,0.013,0.014,0.018,0.016,0.013,0.010,0.010,0.012,0.018,0.026,0.018,0.012,0.010,0.012,0.020,0.033,0.051
0.004,0.005,0.004,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.006,0.012,0.021,0.036,0.052,0.052,0.033,0.018,0.009,0.004,0.002,0.001,0.004,0.002,0.001,0.001,0.002,0.002,0.003,0.004,0.005,0.009,0.017,0.036,0.086,0.036,0.018,0.010,0.008,0.008,0.008,0.007,0.005,0.005,0.005,0.008,0.014,0.027,0.055,0.026,0.014,0.007,0.004,0.002,0.001,0.001,0.001,0.003,0.004,0.007,0.010,0.014,0.018,0.025,0.034,0.022,0.012,0.006,0.004,0.002,0.002,0.001,0.001,0.003,0.005,0.011,0.020,0.033,0.032,0.041,0.080,0.035,0.018,0.012,0.006,0.004,0.002,0.001,0.001,0.000,0.001,0.001,0.003,0.005,0.011,0.021,0.032,0.023,0.016,0.013,0.011,0.009,0.011,0.014,0.022,0.034,0.027,0.015,0.012,0.014,0.021,0.029,0.019,0.013,0.011,0.015,0.026,0.058,0.026,0.014,0.009,0.010,0.014,0.021,0.028
0.008,0.011,0.009,0.007,0.006,0.003,0.002,0.001,0.001,0.001,0.001,0.002,0.004,0.008,0.016,0.029,0.053,0.103,0.105,0.047,0.023,0.011,0.005,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.003,0.002,0.002,0.004,0.007,0.013,0.024,0.036,0.024,0.017,0.011,0.010,0.013,0.015,0.012,0.008,0.006,0.005,0.007,0.010,0.017,0.025,0.018,0.012,0.007,0.004,0.002,0.001,0.001,0.001,0.003,0.004,0.008,0.014,0.021,0.018,0.018,0.018,0.013,0.008,0.005,0.007,0.003,0.002,0.001,0.002,0.003,0.008,0.014,0.031,0.073,0.041,0.035,0.039,0.024,0.014,0.008,0.004,0.002,0.001,0.001,0.000,0.000,0.000,0.001,0.002,0.004,0.008,0.012,0.016,0.016,0.016,0.016,0.012,0.009,0.008,0.009,0.012,0.016,0.014,0.010,0.010,0.015,0.028,0.066,0.028,0.015,0.011,0.012,0.018,0.026,0.018,0.011,0.008,0.008,0.010,0.014,0.017
0.013,0.015,0.016,0.012,0.008,0.004,0.003,0.003,0.001,0.001,0.001,0.002,0.004,0.010,0.021,0.033,0.055,0.064,0.059,0.036,0.020,0.010,0.005,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.009,0.014,0.018,0.015,0.012,0.011,0.014,0.022,0.032,0.021,0.012,0.007,0.005,0.005,0.007,0.010,0.013,0.011,0.009,0.007,0.004,0.002,0.001,0.001,0.002,0.003,0.005,0.009,0.019,0.043,0.021,0.014,0.011,0.008,0.005,0.003,0.003,0.002,0.001,0.001,0.003,0.003,0.007,0.013,0.024,0.039,0.036,0.030,0.025,0.017,0.010,0.006,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.004,0.007,0.010,0.014,0.019,0.027,0.017,0.010,0.007,0.006,0.007,0.008,0.007,0.006,0.007,0.011,0.018,0.027,0.018,0.012,0.009,0.009,0.011,0.013,0.010,0.008,0.006,0.007,0.009,0.011,0.013
